OptName;LfdNr;Name;Typ;Startzeit;Endzeit;Dauer;Fval_Opt;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Kondition_fval;Kondition_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;Materialspannung;num_succ;num_fail;comptime_sum
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh1;1;P6RRRRRR10V3G1P1A1;2;29.01.2020 09:25:12;29.01.2020 11:32:18;7626.205967;381.53729222106;70.6967367946915;11.1508933075977;392.70092119395;70.9168969043819;256.724605564105;42.6643718290267;78.6197377147304;11.9716974937832;99.1376932829067;0.000738230174818187;1354.59106673103;0.264210254301852;83;3017;7601.74785299999
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh1;2;P6RRRRRR10G1P1A1;2;29.01.2020 09:25:12;29.01.2020 11:39:17;8044.975086;440.930927915909;82.3979971931466;13.0158097871658;446.171835520823;84.3734032197597;564.888938861063;122.787051787802;98.1701750711075;22.3938809410943;98.7556841222234;0.000511557163032911;1954.81575132526;0.700004977786252;81;3019;8023.22280500002
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh1;3;P6PRRRRR6V2G8P3A1;2;29.01.2020 09:25:12;29.01.2020 11:34:02;7730.296209;374.128148717658;41.6835246549551;6.55700570861223;373.786117589251;66.5424083899569;286.006274708607;48.213976753842;90.3929198084662;17.4443635704511;95.0185142818591;0.000127536232521638;7840.90905171078;0.112921023286509;700;2400;7707.50553300001
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh1;4;P6PRRRRR6G8P3A1;2;29.01.2020 09:25:12;29.01.2020 11:32:37;7644.784887;417.985538672948;48.2815894241773;7.59862848809332;418.15574017279;77.1049907694063;341.721632481867;59.5054387775935;83.6046230450167;14.0373407741297;93.6014147617895;9.91585782058718e-05;10084.8561777864;0.0975910033250584;247;2853;7621.37957199999
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh2;1;P6RRRRRR10V3G1P1A1;2;29.01.2020 18:34:01;29.01.2020 20:23:45;6584.055311;359.749762859201;61.8274268433651;9.74247901017272;394.648228183092;71.377614507837;491.924626045109;97.4946913370739;117.939188739197;42.442362827259;96.3915907351677;0.000176237732944394;5674.15378814206;0.485686102970293;144;2956;6560.539837
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh2;2;P6RRRRRR10G1P1A1;2;29.01.2020 18:34:01;29.01.2020 20:21:16;6434.629659;365.772878593798;84.6017021352981;13.3679913262808;380.185281709063;68.0024840492529;572.01468899022;125.633142582167;140.113671422069;87.7313520132616;99.2386350862541;0.000836116044741136;1196.00623177803;0.673656331042118;26;3074;6410.52541100001
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh2;3;P6PRRRRR6V2G8P3A1;2;29.01.2020 18:34:01;29.01.2020 20:41:48;7666.324893;374.128148717658;41.6835246549551;6.55700570861223;373.786117589251;66.5424083899569;286.006274708607;48.213976753842;90.3929198084662;17.4443635704511;95.0185142818591;0.000127536232521638;7840.90905171078;0.112921023286509;700;2400;7643.730612
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh2;4;P6PRRRRR6G8P3A1;2;29.01.2020 18:34:01;29.01.2020 20:45:01;7859.84384;384.746477134344;43.5288445884683;6.84817028378656;384.497982671057;68.9977918638018;623.78441058278;149.043711350996;158.712209060277;162.719083418981;94.6840277185661;0.000119477563706331;8369.77227337799;0.213555752305729;237;2863;7837.87912499999
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh3;1;P6RRRRRR10V3G1P1A1;2;30.01.2020 03:43:12;30.01.2020 05:33:19;6607.271875;356.667426662492;55.3282598439013;8.7128906636227;375.185286187917;66.8599708246842;290.018116016649;48.993023158045;148.312338599607;115.069390845746;95.5404022807939;0.000142519154797429;7016.60069077282;0.40720976459678;168;2932;6582.86958600002
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh3;2;P6RRRRRR10G1P1A1;2;30.01.2020 03:43:12;30.01.2020 05:36:41;6809.210821;443.659548601331;59.8009556747981;9.42123886371722;440.207963634432;82.7822328271162;594.465360055036;135.151529919318;110.662070916275;33.5150905904332;97.4517776266601;0.000249695531725562;4004.87743248481;0.715448874813716;49;3051;6786.22657500001
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh3;3;P6PRRRRR6V2G8P3A1;2;30.01.2020 03:43:12;30.01.2020 05:51:39;7707.670899;374.128148717658;41.6835246549551;6.55700570861223;373.786117589251;66.5424083899569;286.006274708607;48.213976753842;90.3929198084662;17.4443635704511;95.0185142818591;0.000127536232521638;7840.90905171078;0.112921023286509;700;2400;7685.79088199999
IFToMMDACH_Vgl_Winkel10_KondLim0_20200129_Wdh3;4;P6PRRRRR6G8P3A1;2;30.01.2020 03:43:12;30.01.2020 05:49:47;7595.684903;417.985538672948;48.2815894241773;7.59862848809332;418.15574017279;77.1049907694063;341.721632481867;59.5054387775935;83.6046230450167;14.0373407741297;93.6014147617895;9.91585782058718e-05;10084.8561777864;0.0975910033250584;247;2853;7573.011181
IFToMMDACH_Vgl_Winkel10_KondLim1_20200129_Wdh1;1;P6RRRRRR10V3G1P1A1;2;29.01.2020 07:36:48;29.01.2020 08:56:09;4760.453397;356.739653435849;61.8820277680565;9.75113718218761;371.848393720933;66.1041429136633;276.690121154817;46.4229326613129;172.121455814295;255.46410039944;97.6341980524051;0.000268968705012611;3717.90465345444;0.503033877033631;183;2917;4732.88805599999
