OptName;LfdNr;Name;Typ;Startzeit;Endzeit;Dauer;Fval_Opt;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Kondition_fval;Kondition_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;Materialspannung;num_succ;num_fail;comptime_sum
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh11;3;P6PRRRRR6V2G8P3A1;2;02.02.2020 07:10:08;02.02.2020 08:53:54;6226.341975;376.807613451364;41.4365246882963;6.51804122165824;376.53379315942;67.1669192668129;296.838984017167;50.3286794005899;100.684540799432;24.2820533475985;97.6276866567456;0.000268229773389102;3728.14690690347;0.10643601222575;603;2497;6190.48449100002
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh11;4;P6PRRRRR6G8P3A1;2;02.02.2020 07:10:08;02.02.2020 08:34:46;5078.579154;468.402471450818;64.9916134914292;10.2444730987443;466.541509643122;90.0048125175044;606.679621028914;140.719733886363;117.212366670159;41.4511774023589;97.5756517329808;0.000262467240348459;3809.99929237787;0.605369773616959;119;2981;5052.066633
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh12;1;P6RRRRRR10V3G1P1A1;2;02.02.2020 09:04:54;02.02.2020 10:18:59;4445.034233;371.496669365832;76.7439641620982;12.1136495278563;385.30018653757;69.1839531754426;447.600163912931;84.7582135338689;99.5072394449779;23.3786188490732;99.4587039695225;0.00117607444897568;850.286307019907;0.386056672222724;114;2986;4417.58839
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh12;2;P6RRRRRR10G1P1A1;2;02.02.2020 09:04:54;02.02.2020 10:35:58;5464.100007;417.170026091035;76.9319422823743;12.1436114230334;419.277719210255;77.3863913888362;694.216707235718;191.930546949897;114.862823035262;38.4052996879269;98.4501383154626;0.000410677934419431;2434.99812429339;0.920143587147521;68;3032;5439.178631
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh12;3;P6PRRRRR6V2G8P3A1;2;02.02.2020 09:04:54;02.02.2020 10:59:25;6870.218003;374.829116408871;40.7554266741187;6.41060751540242;374.107675758404;66.6153085264585;600.714117463936;137.96337171463;159.067788539311;164.666458843457;96.7421076371266;0.000195237860530899;5121.95737691837;0.339536361708561;696;2404;6839.88634899999
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh12;4;P6PRRRRR6G8P3A1;2;02.02.2020 09:04:54;02.02.2020 10:43:43;5928.909166;464.696697306262;61.86251082002;9.74804232615775;466.024469093752;89.8579108962908;344.842775601105;60.1712534149741;75.4962664711644;10.8370035090758;97.4781527610977;0.00025230978859125;3963.38170462357;0.147538121656501;127;2973;5904.34671
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh13;1;P6RRRRRR10V3G1P1A1;2;02.02.2020 11:10:34;02.02.2020 12:28:38;4684.469311;368.354367564578;57.9957791397106;9.13524119321051;385.360210191395;69.1978954508301;249.911431725472;41.4050579358753;118.812249536134;43.6649460592165;97.7241219411024;0.000279605729512531;3576.46462303693;0.459444045340135;112;2988;4653.305087
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh13;2;P6RRRRRR10G1P1A1;2;02.02.2020 11:10:34;02.02.2020 12:38:01;5246.697277;473.827272850773;80.9951211920122;12.7917772322219;483.340082039295;94.8984714176566;351.531515104155;61.6114777749628;83.8957140979793;14.1685679052815;98.948052069498;0.000605126747917332;1652.54635238271;0.438715761303765;41;3059;5222.14241099998
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh13;3;P6PRRRRR6V2G8P3A1;2;02.02.2020 11:10:34;02.02.2020 12:47:56;5842.390297;372.785292848884;44.3232084554623;6.97354462521136;373.43448112842;66.462745306266;884.83996184971;546.770135635661;173.879938215799;271.1346432132;97.0210928938289;0.000213553174433484;4682.67447980023;0.504151177510022;464;2636;5814.09835100001
IFToMMDACH_Vgl_Winkel10_20200131_nachts_Wdh13;4;P6PRRRRR6G8P3A1;2;02.02.2020 11:10:34;02.02.2020 12:49:09;5915.613288;451.887176802116;63.050790983833;9.93650512073082;451.842574325862;85.9098677537237;720.655086115772;213.079670363396;115.845640947312;39.6506746029657;98.1243277809828;0.000339310645828951;2947.15185713361;0.728353536689844;127;2973;5891.999856
