OptName;LfdNr;Name;Typ;Startzeit;Endzeit;Dauer;Fval_Opt;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Kondition_fval;Kondition_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;Materialspannung;num_succ;num_fail;comptime_sum;MaxTiltAngle
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh1;1;P6RRRRRR10V3G1P1A1;2;12.02.2020 19:15:30;12.02.2020 21:20:28;7497.469242;424.351895891949;86.783315223097;13.7169634659869;444.318996240277;83.8763890011127;545.871677091796;115.55905776019;85.4042537536005;14.8688150464481;99.0763373967233;0.000689185746523088;1450.98764018983;0.624963562518398;139;2961;7467.02627400001;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh1;2;P6RRRRRR10G1P1A1;2;12.02.2020 19:15:30;12.02.2020 20:34:21;4731.220814;531.502957712845;60.1170940963912;9.47134089016798;536.648187107977;112.230980296945;224.472990046597;36.7979270404371;112.309785644875;35.3529147376711;93.0452664771199;9.11731835286481e-05;10968.1373546179;0.302927112046906;31;3069;4688.647041;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh1;3;P6PRRRRR6V2G8P3A1;2;12.02.2020 19:15:30;12.02.2020 21:21:05;7534.627926;446.477595920493;79.5931622224758;12.5680172664213;442.313161112969;83.3410624241471;244.061559760435;40.3326785482941;96.4483523937339;21.1874978927965;99.3698386228639;0.00101021580034241;989.887506868385;0.589333395254452;544;2556;7501.08211199999;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh1;4;P6PRRRRR6G8P3A1;2;12.02.2020 19:15:30;12.02.2020 21:10:45;6914.372481;474.99211997851;45.8877384622915;7.22053836919203;474.055819957676;92.1643822636532;341.688033983956;59.4982926043102;110.529542851355;33.3715614999374;94.7222645881888;0.000120347193707037;8309.29221693625;0.158682408860786;212;2888;6881.40249000001;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh2;1;P6RRRRRR10V3G1P1A1;2;13.02.2020 02:13:33;13.02.2020 03:49:21;5747.82701;426.564960891167;67.1943892730226;10.5942410485592;464.040144431991;89.2961076183088;608.051296383358;141.363809273325;130.658651219695;64.2887765708238;97.5050561752135;0.000255033322112888;3921.05624361259;0.622933065583329;145;2955;5719.46595400001;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh2;2;P6RRRRRR10G1P1A1;2;13.02.2020 02:13:33;13.02.2020 03:37:52;5059.046806;492.066183416402;67.1499125286751;10.5871762963609;490.469412214862;97.0498230971462;330.644561061845;57.1732582738931;129.794433151517;62.493734448169;98.5417405727065;0.000436485039769591;2291.02926535093;0.504254876894599;50;3050;5031.253443;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh2;3;P6PRRRRR6V2G8P3A1;2;13.02.2020 02:13:33;13.02.2020 04:10:43;7029.925858;443.891351362845;40.2500001987076;6.33089308131163;443.178634300678;83.5716980812983;350.432959956445;61.3736661611124;95.3171430141392;20.4310292981786;96.9250848472588;0.000206875505732137;4833.82504110855;0.144964098341614;471;2629;6998.982532;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh2;4;P6PRRRRR6G8P3A1;2;13.02.2020 02:13:33;13.02.2020 04:21:52;7699.01494;552.028616160816;77.0674780939694;12.1652158540456;550.968778016158;117.44639156287;331.643186433227;57.3815843041817;73.0186275186815;10.0147638851577;99.5047954855878;0.00128554347487924;777.881121518616;0.293728018593475;167;2933;7672.55693699997;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh3;1;P6RRRRRR10V3G1P1A1;2;13.02.2020 09:04:46;13.02.2020 10:36:51;5524.761019;419.635313619264;54.9808607509414;8.65790969027539;434.423187358053;81.2622513764693;535.104112469952;111.684422588383;116.591943178591;40.6237473463941;95.0469051920224;0.000128270248335256;7796.04010266144;0.570523383865272;113;2987;5494.52044799999;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh3;2;P6RRRRRR10G1P1A1;2;13.02.2020 09:04:46;13.02.2020 10:53:48;6542.032286;503.539470815348;80.2797984811841;12.6775923826919;526.388755396695;108.65394689334;515.113626103787;104.864484542209;120.61482196522;46.3038823916326;98.8887488598706;0.000572827410428334;1745.72651691414;0.577421484591746;61;3039;6513.132884;0
